公司标识,车牌号,行政区编号,定位时间,纬度,经度,瞬时速度,方向角,海拔高度,行驶里程,坐标加密标识,预警状态,车辆状态,运营状态,订单编号,来源,时间差,纬度差,经度差,时间段
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:32:05,"31.262769","121.622978","21","185","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9740415,"30","0.0","0.0",2023-04-24 11:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:32:35,"31.262769","121.622978","46","185","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9756067,"30","0.0","0.0",2023-04-24 11:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:33:05,"31.262777","121.622985","44","185","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9769644,"30","8.0e-06","7.0e-06",2023-04-24 11:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:34:05,"31.262777","121.622985","18","185","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9796789,"60","0.0","0.0",2023-04-24 11:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:35:05,"31.262777","121.622985","46","185","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9812911,"60","0.0","0.0",2023-04-24 11:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:35:35,"31.262777","121.622985","47","185","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9829147,"30","0.0","0.0",2023-04-24 11:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:36:05,"31.262777","121.622985","17","185","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9839778,"30","0.0","0.0",2023-04-24 11:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:36:35,"31.262777","121.622985","27","185","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9847920,"30","0.0","0.0",2023-04-24 11:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:37:35,"31.262777","121.622985","39","185","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9867196,"60","0.0","0.0",2023-04-24 11:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:41:05,"31.262777","121.622985","16","185","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9894904,"210","0.0","0.0",2023-04-24 11:40
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:53:05,"31.262767","121.622957","2","196","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9889522,"720","-1.0e-05","-2.8e-05",2023-04-24 11:50
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:55:35,"31.262767","121.622957","36","196","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9917252,"150","0.0","0.0",2023-04-24 11:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:56:05,"31.262767","121.622957","9","196","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9908191,"30","0.0","0.0",2023-04-24 11:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:56:35,"31.262767","121.622957","49","196","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9920455,"30","0.0","0.0",2023-04-24 11:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:59:01,"31.262811","121.620489","32","232","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:9948923,"146","4.4e-05","-0.002468",2023-04-24 11:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:00:01,"31.260753","121.617363","20","234","7","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:9954567,"60","-0.002058","-0.003126",2023-04-24 12:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:00:33,"31.260642","121.6172","25","234","6","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:9965586,"32","-0.000111","-0.000163",2023-04-24 12:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:02:33,"31.257069","121.618334","37","56","6","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:9987025,"120","-0.003573","0.001133",2023-04-24 12:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:03:34,"31.258806","121.619179","34","312","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10001423,"61","0.001738","0.000845",2023-04-24 12:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:04:04,"31.259526","121.618587","41","30","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10010893,"30","0.00072","-0.000592",2023-04-24 12:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:06:04,"31.259869","121.616132","31","230","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10049358,"120","0.000343","-0.002455",2023-04-24 12:05
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:06:34,"31.259167","121.615138","21","231","4","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10064918,"30","-0.000702","-0.000994",2023-04-24 12:05
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:07:35,"31.256545","121.610678","10","237","4","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10088255,"61","-0.002622","-0.004459",2023-04-24 12:05
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:08:04,"31.255894","121.609279","42","246","4","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10090331,"29","-0.000651","-0.001399",2023-04-24 12:05
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:08:34,"31.255425","121.607871","1","252","4","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10104400,"30","-0.000469","-0.001408",2023-04-24 12:05
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:09:04,"31.254834","121.604859","29","257","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10131895,"30","-0.000591","-0.003012",2023-04-24 12:05
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:09:34,"31.25392","121.601689","6","250","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10123686,"30","-0.000915","-0.00317",2023-04-24 12:05
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:10:34,"31.253051","121.59877","16","250","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10155483,"60","-0.000868","-0.002919",2023-04-24 12:10
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:11:04,"31.253051","121.59877","46","250","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10160413,"30","0.0","0.0",2023-04-24 12:10
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:11:34,"31.252353","121.597076","7","240","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10171190,"30","-0.000699","-0.001694",2023-04-24 12:10
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:14:04,"31.248964","121.590569","48","243","5","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10218938,"150","-0.003389","-0.006506",2023-04-24 12:10
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:14:34,"31.249517","121.591847","26","60","7","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10224744,"30","0.000553","0.001278",2023-04-24 12:10
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:15:04,"31.249558","121.592654","17","63","2","0","1","0","0","1",B230424115711302000,NETCAR_VEHICLEPOSITION_0424.txt:10239221,"30","4.1e-05","0.000807",2023-04-24 12:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:16:04,"31.252508","121.597517","3","63","0","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10254894,"60","0.002949","0.004862",2023-04-24 12:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:16:34,"31.252669","121.597914","20","66","0","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10274236,"30","0.000161","0.000397",2023-04-24 12:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:17:04,"31.253602","121.600811","12","70","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10292820,"30","0.000933","0.002897",2023-04-24 12:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:17:34,"31.254622","121.604166","16","74","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10296191,"30","0.00102","0.003355",2023-04-24 12:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:18:04,"31.254655","121.604297","13","74","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10297185,"30","3.3e-05","0.000131",2023-04-24 12:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:20:34,"31.258319","121.614016","33","52","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10340109,"150","0.003665","0.009719",2023-04-24 12:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:21:04,"31.260246","121.616747","20","51","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10360991,"30","0.001927","0.002731",2023-04-24 12:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:21:34,"31.262136","121.619626","8","52","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10355924,"30","0.00189","0.002879",2023-04-24 12:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:22:04,"31.262859","121.620717","45","52","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10363007,"30","0.000723","0.001091",2023-04-24 12:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:22:34,"31.262859","121.620717","36","52","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10374826,"30","0.0","0.0",2023-04-24 12:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:25:04,"31.262741","121.622971","43","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10417684,"150","-0.000118","0.002254",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:25:08,"31.262741","121.622971","3","0","0","0","1","0","0",,B230424122458597000,NETCAR_VEHICLEPOSITION_0424.txt:10428193,"4","0.0","0.0",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:26:04,"31.262751","121.622974","40","181","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10443058,"56","1.0e-05","3.0e-06",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:26:34,"31.262751","121.622974","9","182","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10457166,"30","0.0","0.0",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:27:34,"31.262732","121.622963","39","182","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10463634,"60","-1.9e-05","-1.1e-05",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:28:04,"31.262737","121.622975","37","151","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10473433,"30","5.0e-06","1.2e-05",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:28:34,"31.262737","121.622983","36","137","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10496227,"30","0.0","8.0e-06",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:29:04,"31.262737","121.622976","5","137","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10502448,"30","0.0","-7.0e-06",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:29:34,"31.262737","121.622976","42","137","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10519649,"30","0.0","0.0",2023-04-24 12:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:30:34,"31.262737","121.622976","26","137","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10531252,"60","0.0","0.0",2023-04-24 12:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:31:04,"31.262737","121.622976","23","137","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10535995,"30","0.0","0.0",2023-04-24 12:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:31:34,"31.262737","121.622976","11","137","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10549184,"30","0.0","0.0",2023-04-24 12:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:33:04,"31.262737","121.622976","38","137","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10575925,"90","0.0","0.0",2023-04-24 12:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:34:34,"31.262731","121.622975","47","119","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10600188,"90","-6.0e-06","-1.0e-06",2023-04-24 12:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:35:04,"31.262734","121.622973","9","119","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10612924,"30","3.0e-06","-2.0e-06",2023-04-24 12:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:35:10,"31.262732","121.622974","1","0","0","0","1","0","0",,B230424123339592000,NETCAR_VEHICLEPOSITION_0424.txt:10625063,"6","-2.0e-06","1.0e-06",2023-04-24 12:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:35:34,"31.262733","121.622972","21","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10628422,"24","1.0e-06","-2.0e-06",2023-04-24 12:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:39:04,"31.262734","121.622971","12","141","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10659605,"210","1.0e-06","-1.0e-06",2023-04-24 12:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:39:34,"31.262734","121.622971","19","141","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10673176,"30","0.0","0.0",2023-04-24 12:35
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:40:04,"31.262733","121.622964","15","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10684336,"30","-1.0e-06","-7.0e-06",2023-04-24 12:40
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:40:34,"31.262733","121.622964","26","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10690406,"30","0.0","0.0",2023-04-24 12:40
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:42:34,"31.262733","121.622964","40","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10718435,"120","0.0","0.0",2023-04-24 12:40
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:43:04,"31.262733","121.622964","34","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10726646,"30","0.0","0.0",2023-04-24 12:40
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:43:34,"31.262733","121.622964","19","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10732849,"30","0.0","0.0",2023-04-24 12:40
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:48:34,"31.262725","121.622964","22","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10814765,"300","-8.0e-06","0.0",2023-04-24 12:45
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:49:04,"31.262725","121.622964","25","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10825015,"30","0.0","0.0",2023-04-24 12:45
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:50:34,"31.262725","121.622964","6","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10841405,"90","0.0","0.0",2023-04-24 12:50
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:51:04,"31.262725","121.622964","20","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10845992,"30","0.0","0.0",2023-04-24 12:50
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:51:34,"31.262725","121.622964","3","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10862577,"30","0.0","0.0",2023-04-24 12:50
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:52:34,"31.262725","121.622964","42","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10874432,"60","0.0","0.0",2023-04-24 12:50
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:53:04,"31.262725","121.622964","31","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10887235,"30","0.0","0.0",2023-04-24 12:50
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:55:34,"31.262725","121.622964","19","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10932735,"150","0.0","0.0",2023-04-24 12:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:56:04,"31.262725","121.622964","24","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10945416,"30","0.0","0.0",2023-04-24 12:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:56:34,"31.262725","121.622964","16","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10963131,"30","0.0","0.0",2023-04-24 12:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:57:34,"31.262725","121.622964","26","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10972679,"60","0.0","0.0",2023-04-24 12:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:58:04,"31.262725","121.622964","18","141","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:10985388,"30","0.0","0.0",2023-04-24 12:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:59:04,"31.26276","121.62296","30","128","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:11005780,"60","3.5e-05","-4.0e-06",2023-04-24 12:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 12:59:34,"31.26276","121.62296","8","128","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:11023296,"30","0.0","0.0",2023-04-24 12:55
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 13:00:34,"31.26276","121.62296","7","128","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:11036444,"60","0.0","0.0",2023-04-24 13:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 13:01:04,"31.26276","121.62296","6","128","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:11045181,"30","0.0","0.0",2023-04-24 13:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 13:02:04,"31.262715","121.622968","22","191","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:11071695,"60","-4.5e-05","8.0e-06",2023-04-24 13:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 13:02:34,"31.26273","121.622974","2","218","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:11074922,"30","1.5e-05","6.0e-06",2023-04-24 13:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 13:03:34,"31.26273","121.622974","39","218","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:11093409,"60","0.0","0.0",2023-04-24 13:00
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 13:04:04,"31.26273","121.622974","6","218","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:11104120,"30","0.0","0.0",2023-04-24 13:00
